               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,          metrics/F2
                   0,             0.10349,            0.023897,                   0,           0.0026043,              0.3098,           0.0017514,           0.0006061,            0.012598,            0.079609,            0.013558,                   0,            0.067153,          0.00033178,          0.00033178
                   1,            0.097346,            0.026134,                   0,           0.0059308,             0.70553,            0.033004,             0.01402,            0.028689,            0.069517,            0.015587,                   0,            0.034149,          0.00066073,          0.00066073
                   2,            0.092791,            0.027364,                   0,             0.13165,               0.167,            0.064122,            0.036028,             0.15849,             0.06383,            0.017234,                   0,           0.0011403,          0.00098527,          0.00098527
                   3,            0.088239,             0.02769,                   0,             0.13316,             0.15732,               0.071,             0.03347,             0.15181,            0.063701,            0.016524,                   0,           0.0009802,           0.0009802,           0.0009802
                   4,            0.088123,            0.027558,                   0,             0.18959,             0.12061,             0.07886,            0.046566,             0.13008,            0.061513,            0.015988,                   0,           0.0009802,           0.0009802,           0.0009802
                   5,            0.085038,             0.02702,                   0,             0.14226,             0.18031,            0.089252,            0.049136,             0.17116,            0.059998,            0.016562,                   0,           0.0009736,           0.0009736,           0.0009736
                   6,            0.084754,            0.027494,                   0,             0.16967,             0.25212,             0.13823,            0.083691,             0.22979,            0.057335,             0.01694,                   0,            0.000967,            0.000967,            0.000967
                   7,            0.084611,            0.027345,                   0,            0.078566,              0.2743,            0.041809,            0.023084,             0.18308,            0.056732,            0.019599,                   0,           0.0009604,           0.0009604,           0.0009604
                   8,            0.083682,            0.027193,                   0,             0.18688,             0.31061,             0.18931,             0.12312,             0.27429,            0.054371,             0.01627,                   0,           0.0009538,           0.0009538,           0.0009538
                   9,            0.079609,             0.02668,                   0,             0.25539,             0.25373,             0.19277,             0.12742,             0.25406,            0.054786,            0.015005,                   0,           0.0009472,           0.0009472,           0.0009472
                  10,            0.082463,            0.027081,                   0,             0.18763,             0.27108,             0.16986,             0.10375,             0.24893,            0.055188,             0.01578,                   0,           0.0009406,           0.0009406,           0.0009406
                  11,            0.081412,            0.027638,                   0,             0.24475,             0.30012,             0.21706,             0.12224,             0.28713,             0.05627,            0.015411,                   0,            0.000934,            0.000934,            0.000934
                  12,            0.078515,            0.026912,                   0,             0.20956,             0.34933,             0.22833,             0.11043,             0.30822,            0.056826,            0.015876,                   0,           0.0009274,           0.0009274,           0.0009274
                  13,            0.079823,            0.027323,                   0,             0.26111,             0.29609,             0.22446,              0.1371,             0.28836,            0.053949,             0.01518,                   0,           0.0009208,           0.0009208,           0.0009208
                  14,            0.079459,            0.026801,                   0,             0.23396,             0.33562,             0.24963,             0.15471,             0.30878,            0.052593,             0.01563,                   0,           0.0009142,           0.0009142,           0.0009142
                  15,            0.079302,            0.027183,                   0,             0.24692,             0.33764,             0.25714,             0.12847,             0.31453,            0.056811,            0.014749,                   0,           0.0009076,           0.0009076,           0.0009076
                  16,            0.077726,            0.027238,                   0,             0.28404,             0.37878,             0.31045,             0.20385,             0.35509,            0.051204,            0.014478,                   0,            0.000901,            0.000901,            0.000901
                  17,            0.077224,            0.026267,                   0,             0.27053,             0.36789,             0.29249,             0.17545,             0.34319,            0.052472,            0.014734,                   0,           0.0008944,           0.0008944,           0.0008944
                  18,            0.077325,            0.027209,                   0,             0.25559,             0.38524,             0.30251,             0.18371,             0.34975,             0.05105,            0.015295,                   0,           0.0008878,           0.0008878,           0.0008878
                  19,            0.075792,            0.026608,                   0,             0.18074,             0.31545,             0.17629,             0.10184,             0.27453,            0.054072,            0.016713,                   0,           0.0008812,           0.0008812,           0.0008812
                  20,            0.076613,            0.026484,                   0,             0.24969,             0.37434,             0.29346,             0.20294,             0.34036,            0.046911,            0.015861,                   0,           0.0008746,           0.0008746,           0.0008746
                  21,            0.074757,            0.026832,                   0,             0.30948,             0.39169,             0.32558,             0.20038,             0.37193,            0.052249,            0.013758,                   0,            0.000868,            0.000868,            0.000868
                  22,            0.074132,            0.026698,                   0,              0.2778,             0.39371,             0.32243,             0.17785,             0.36338,            0.053808,            0.014599,                   0,           0.0008614,           0.0008614,           0.0008614
                  23,             0.07434,            0.026795,                   0,             0.29691,             0.35296,             0.29433,              0.1856,             0.34012,            0.052947,            0.013934,                   0,           0.0008548,           0.0008548,           0.0008548
                  24,            0.074857,            0.026936,                   0,             0.29118,             0.39854,             0.32586,             0.21554,             0.37117,            0.049304,            0.015143,                   0,           0.0008482,           0.0008482,           0.0008482
                  25,            0.074599,            0.026661,                   0,              0.3298,             0.38887,             0.34048,             0.23587,             0.37542,            0.047288,            0.013852,                   0,           0.0008416,           0.0008416,           0.0008416
                  26,            0.073583,            0.026088,                   0,             0.30691,             0.43364,             0.37577,             0.23725,             0.40056,            0.048338,             0.01389,                   0,            0.000835,            0.000835,            0.000835
                  27,            0.071702,            0.026427,                   0,             0.35258,             0.41589,              0.3841,             0.26742,             0.40148,            0.047541,            0.013659,                   0,           0.0008284,           0.0008284,           0.0008284
                  28,            0.072451,            0.026663,                   0,              0.3811,             0.42921,             0.39694,             0.27704,             0.41864,            0.046411,             0.01349,                   0,           0.0008218,           0.0008218,           0.0008218
                  29,            0.074024,            0.026151,                   0,             0.33271,             0.44252,             0.39633,             0.25592,             0.41512,            0.047458,             0.01468,                   0,           0.0008152,           0.0008152,           0.0008152
                  30,            0.071585,            0.026942,                   0,             0.34931,             0.48205,             0.42338,             0.29354,               0.448,            0.044892,            0.014778,                   0,           0.0008086,           0.0008086,           0.0008086
                  31,            0.070956,            0.026271,                   0,             0.39132,             0.43595,             0.41063,             0.29354,             0.42623,            0.043856,            0.013736,                   0,            0.000802,            0.000802,            0.000802
                  32,            0.073146,            0.026121,                   0,             0.34747,             0.47358,             0.42282,             0.28455,             0.44153,            0.044363,             0.01449,                   0,           0.0007954,           0.0007954,           0.0007954
                  33,            0.073692,            0.026622,                   0,             0.35015,             0.41993,             0.37789,             0.23146,             0.40383,             0.04955,             0.01371,                   0,           0.0007888,           0.0007888,           0.0007888
                  34,            0.072023,            0.025682,                   0,             0.34811,             0.47196,             0.40137,             0.25061,             0.44061,            0.046886,            0.013921,                   0,           0.0007822,           0.0007822,           0.0007822
                  35,            0.071038,            0.026241,                   0,             0.39724,             0.45825,             0.43501,              0.2921,             0.44459,            0.044963,            0.013105,                   0,           0.0007756,           0.0007756,           0.0007756
