               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10658,            0.015832,                   0,          0.00020346,            0.024203,          0.00010534,          2.3552e-05,            0.083376,            0.013858,                   0,             0.07014,           0.0033178,           0.0033178
                   1,            0.095747,            0.017677,                   0,            0.002177,             0.25898,           0.0023886,          0.00065507,            0.077383,            0.014519,                   0,            0.040096,           0.0066073,           0.0066073
                   2,            0.090529,            0.019192,                   0,            0.083178,            0.033885,            0.014372,           0.0041413,            0.067486,            0.016589,                   0,            0.010008,           0.0098527,           0.0098527
                   3,             0.08042,            0.020322,                   0,            0.005588,             0.33844,            0.027319,           0.0092054,             0.06739,            0.019023,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.075861,            0.019911,                   0,            0.075497,             0.14274,            0.036067,            0.013079,            0.062186,            0.018849,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.072443,            0.020353,                   0,              0.2065,             0.14361,            0.088771,            0.034237,             0.05548,             0.01668,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.069821,            0.020362,                   0,             0.25979,             0.11524,            0.097933,            0.037226,            0.056872,             0.01662,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.068855,            0.019789,                   0,             0.29269,             0.19887,             0.16101,            0.064465,            0.052274,            0.016516,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.064984,            0.019733,                   0,              0.2944,             0.17305,             0.14439,            0.057376,            0.050658,            0.016203,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.063627,            0.019391,                   0,             0.39616,             0.22025,             0.20779,            0.082043,            0.050873,            0.017193,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.061725,            0.018975,                   0,             0.49907,             0.26503,              0.2853,             0.11329,            0.047391,            0.015343,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.059341,            0.018363,                   0,             0.51287,              0.2614,             0.28512,             0.10976,             0.04748,            0.014595,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.057359,            0.018282,                   0,             0.51009,             0.29407,             0.31615,             0.12213,            0.047974,            0.014614,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.057874,            0.018465,                   0,             0.40892,             0.26341,             0.25628,            0.094246,             0.04845,            0.015016,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.056269,            0.017738,                   0,             0.57753,             0.37313,             0.40736,             0.16683,            0.043558,            0.014202,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.054133,            0.016871,                   0,             0.54581,             0.37909,             0.40701,              0.1698,            0.042632,              0.0132,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.052854,            0.016621,                   0,             0.58649,             0.39209,             0.42714,             0.17684,            0.041853,            0.014424,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.053326,            0.016962,                   0,             0.62664,             0.41299,             0.46808,             0.19673,            0.041606,            0.012486,                   0,            0.008944,            0.008944,            0.008944
                  18,              0.0518,            0.016056,                   0,             0.67059,             0.44171,             0.50532,             0.20949,            0.040122,            0.012451,                   0,            0.008878,            0.008878,            0.008878
